Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
2s+16,0.3,0.45,0.05,0.15,0.05,6.8,4.92126925,8.481057625,-5.52,2203.2,3.385048217,30,67.05495,5.763,8627.5,0.8175,1.325,1.8895,4.8725,695.415,21.23,58.55,3.57,4.25,1.2035,1.3411,2228.95,14.17,186.6,611.6
1s+6,0.35,0.15,0.2,0.15,0.15,6.65,6.077062518,10.46284743,-11.89,2310.85,2.033479477,34.85,79.96785,6.211,9520.5,0.8295,1.4045,1.8335,5.4795,713.195,22.065,57.8,3.6675,4.45,1.2355,1.3558,2331.35,17.855,195.035,614.8
2s+15,0.15,0.15,0.05,0.3,0.35,6.35,4.88238435,9.031999972,-2.97,2837.4,8.628753105,47.25,112.1622,7.389,12440.5,0.87,1.424,1.8595,6.677,719.55,27.185,56.75,3.8025,5,1.259,1.3777,2848.15,13.57,243.855,616.6
2s+20,0.1,0.2,0.25,0.2,0.25,5.8,5.326993477,10.35336827,-7.12,2584.8,3.758621671,39.9,93.40975,6.6475,10317,0.8765,1.4995,1.8725,6.0605,700.38,24.88,55.5,3.625,4.7,1.265,1.3947,2611.05,10.985,207.24,620.6
2s+26,0.05,0.3,0.4,0.1,0.15,5.35,5.845413964,9.661389666,-7.87,2342.05,2.875153452,32.65,74.86375,5.9215,8326,0.8795,1.551,1.8925,5.4065,680.95,22.685,54.55,3.4575,4.4,1.264,1.4066,2383.05,8.25,173.205,622.4
first+10,0.25,0.25,0.25,0.0625,0.1875,6.25,6.188070312,12.69446492,-11.4375,2328.9375,2.584884405,34.75,80.167125,6.165625,9403.75,0.84375,1.4425,1.851875,5.43,704.48125,22.3375,56.8125,3.63125,4.4375,1.239375,1.37,2357.6875,15.2125,187.1125,633
1s+17,0.15,0.15,0.15,0.25,0.3,6.15,5.151030296,10.10064397,-5.94,2702.05,4.594687716,43.65,102.9594,7.0295,11421.5,0.87,1.457,1.859,6.376,712.605,25.915,56.3,3.7275,4.85,1.2615,1.3835,2719.3,13.13,226.085,637.2
2s+19,0.1,0.15,0.45,0.15,0.15,5.4,5.355129673,9.633622756,-10.14,2352.1,2.234639456,33.6,77.20135,6.021,8430.5,0.8795,1.572,1.8685,5.5945,688.095,22.69,54.55,3.48,4.45,1.2755,1.4083,2388.85,10.08,176.76,640.4
1s+2,0.45,0.05,0.35,0.1,0.05,6.65,6.588146116,8.532986056,-20.45,2051.8,0.85613598,28.95,64.6596,5.645,7937.5,0.816,1.434,1.8085,5.005,711.21,19.515,57.85,3.5875,4.2,1.237,1.3535,2077.05,20.21,169.285,643.5
2s+2,0.05,0.05,0.65,0.05,0.2,4.85,3.873071895,7.49481913,-8.28,2332.45,2.111267014,33.75,78.227,5.9875,8114.5,0.898,1.673,1.85,5.698,686.505,22.485,53,3.4525,4.45,1.2995,1.4325,2377.2,9.79,162.795,649
1s+7,0.45,0.1,0.15,0.1,0.2,7.05,6.037909745,9.943897784,-10.84,2324.15,2.132021221,36.85,85.2635,6.415,10275,0.814,1.3635,1.805,5.575,727.75,22.055,58.75,3.7775,4.5,1.227,1.3403,2338.9,21.905,202.255,649.6
first+19,0.210526316,0.210526316,0.210526316,0.105263158,0.263157895,6.210526316,5.865305905,13.07281298,-9.041551247,2501,3.616094669,39.26315789,91.91126316,6.596315789,10482.10526,0.854736842,1.449473684,1.85,5.868421053,710.3473684,23.96842105,56.57894737,3.697368421,4.631578947,1.248421053,1.375578947,2525.210526,14.88421053,204.0526316,660.2
first+27,0.19047619,0.19047619,0.19047619,0.142857143,0.285714286,6.19047619,5.659437214,13.16503893,-7.945578231,2575.809524,4.267862159,41.04761905,96.48114286,6.76952381,10886.66667,0.86,1.452380952,1.851428571,6.058095238,711.9761905,24.68571429,56.47619048,3.716666667,4.714285714,1.252857143,1.378285714,2597.714286,14.46666667,211.8666667,661
first+33,0.19047619,0.19047619,0.19047619,0.19047619,0.238095238,6.19047619,5.641257156,13.34479026,-8.054421769,2538.047619,4.205107965,39.52380952,92.29495238,6.632857143,10457.14286,0.859047619,1.45047619,1.858571429,5.959047619,707.9238095,24.35238095,56.52380952,3.673809524,4.666666667,1.252380952,1.377904762,2559.952381,13.71428571,209.4952381,661
1s+33,0.55,0.05,0.3,0.05,0.05,7.05,6.61172338,8.227330034,-20.59,1987.45,0.794143131,28.45,63.36255,5.613,8089.5,0.7965,1.3845,1.7905,4.8605,719.905,18.805,58.9,3.6475,4.15,1.2225,1.3356,2009.45,23.495,168.955,661.8
first+48,0.166666667,0.166666667,0.166666667,0.25,0.25,6.166666667,5.35906484,13.21116977,-6.833333333,2615.083333,5.055850227,41.16666667,96.4135,6.795833333,10803.33333,0.865,1.453333333,1.8625,6.153333333,708.5916667,25.1,56.41666667,3.683333333,4.75,1.2575,1.381,2634.25,12.98333333,218.0333333,668
2s+31,0.7,0.05,0.15,0.05,0.05,7.8,5.757702254,6.932326984,-13.66,1962.7,0.996052575,29.2,65.02245,5.727,8743.5,0.7665,1.284,1.7695,4.7915,734.965,18.43,60.85,3.76,4.15,1.1985,1.3041,1974.95,28.16,179.92,672.6
2s+32,0.05,0.4,0.4,0.05,0.1,5.35,6.275707972,9.254128068,-8.23,2226.4,2.503449664,29.25,66.07385,5.593,7572,0.8725,1.536,1.906,5.0305,673.485,21.635,54.7,3.4025,4.25,1.2525,1.4022,2272.4,7.51,160.595,674.4
first+34,0.181818182,0.181818182,0.181818182,0.181818182,0.272727273,6.181818182,5.554278398,13.25390194,-7.537190083,2590.090909,4.554590045,41.09090909,96.45654545,6.779090909,10856.36364,0.861818182,1.452727273,1.855454545,6.092727273,710.7454545,24.83636364,56.45454545,3.704545455,4.727272727,1.254545455,1.379272727,2611,13.92727273,214.1090909,676.8
first+41,0.173913043,0.173913043,0.173913043,0.217391304,0.260869565,6.173913043,5.454267068,13.26013895,-7.168241966,2603.130435,4.815388686,41.13043478,96.43408696,6.787826087,10828.69565,0.863478261,1.453043478,1.859130435,6.124347826,709.6217391,24.97391304,56.43478261,3.693478261,4.739130435,1.256086957,1.380173913,2623.130435,13.43478261,216.1565217,682.4
